stimuli_id,word,color,congruent,corrAnsw,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,Instruction.stopped,interupt_key.keys,interupt_key.rt,interupt_key.started,interupt_key.stopped,Stimul_text.started,Stimul_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fix_cross.started,fix_cross.stopped,sync_square.started,sync_square.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,13.781642200017814,None,space,2.3697518999979366,13.781642200017814,None,,,,,,,,,,,,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
11,green,blue,0,b,0,0,0,10,,,,,,,18.19540009999764,None,b,1,1.2422472000180278,18.19540009999764,None,16.216341999999713,18.229157800000394,18.19540009999764,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
4,yellow,red,0,r,0,1,1,3,,,,,,,21.44843590000528,None,r,1,0.8550360999943223,21.44843590000528,None,19.463458800018998,21.465553300018655,21.44843590000528,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
9,red,blue,0,b,0,2,2,8,,,,,,,24.318334600015078,None,b,1,0.8513198000146076,24.318334600015078,None,22.333435300010024,24.335048400011146,24.318334600015078,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
10,blue,blue,1,b,0,3,3,9,,,,,,,27.171248900005594,None,b,1,0.6759851000097115,27.171248900005594,None,25.185629300016444,27.18796320000547,27.171248900005594,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
2,blue,red,0,r,0,4,4,1,,,,,,,29.8570550000004,None,r,1,0.7787047000019811,29.8570550000004,None,27.87212859999272,29.873864599998342,29.8570550000004,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
3,green,red,0,r,0,5,5,2,,,,,,,32.64351799999713,None,r,1,0.5422809000010602,32.64351799999713,None,30.657958900002996,32.66029470000649,32.64351799999713,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
1,red,red,1,r,0,6,6,0,,,,,,,35.19581810000818,None,r,1,0.5001539000077173,35.19581810000818,None,33.21129080001265,35.21239240001887,35.19581810000818,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
16,yellow,yellow,1,y,0,7,7,15,,,,,,,37.69853019999573,None,y,1,0.7358802999951877,37.69853019999573,None,35.71339079999598,37.71539530000882,37.69853019999573,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
12,yellow,blue,0,b,0,8,8,11,,,,,,,40.45168719999492,None,b,1,2.881932400021469,40.45168719999492,None,38.46531719999621,40.467898000002606,40.45168719999492,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
15,green,yellow,0,y,0,9,9,14,,,,,,,45.33932610001648,None,y,1,1.8528329999826383,45.33932610001648,None,43.354226800001925,45.35594760000822,45.33932610001648,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
8,yellow,green,0,g,0,10,10,7,,,,,,,49.19279470000765,None,g,1,0.8706304999941494,49.19279470000765,None,47.20781890000217,49.20983510001679,49.19279470000765,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
14,blue,yellow,0,y,0,11,11,13,,,,,,,52.07931840000674,None,y,1,1.2532942999969237,52.07931840000674,None,50.0942808999971,52.09609179999097,52.07931840000674,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
